cafe_id,name,road_address,lat,lng,hotspot_name,distance_band,primary_distance_m,source_confidence,poi_valid,exclusion_reason
3736,Thanks Nature Cafe,10 Hongik-ro,37.5535431,126.9237061,홍대 관광특구,near,230.7,0.996,,
4325,칼디 커피,54 Wausan-ro 29-gil,37.5559120,126.9272308,홍대 관광특구,near,177.0,0.995,,
2131,Millo Coffee Roasters,36 Yanghwa-ro 18an-gil,37.5570374,126.9265976,홍대 관광특구,near,256.5,0.993,,
1044,발코니가든,155-1 4F Eoulmadang-ro,37.5568962,126.9270782,홍대 관광특구,near,257.6,0.988,,
1427,아메노히 커피점(雨乃日珈琲店),마포구 와우산로 168,37.5557480,126.9309311,홍대 관광특구,mid,467.1,0.985,,
4039,Slit,21-12 Wausan-ro 21-gil,37.5519485,126.9222946,홍대 관광특구,mid,442.6,0.985,,
1825,청춘고양이카페,12-6 Wausan-ro 21-gil,37.5526848,126.9230804,홍대 관광특구,mid,335.6,0.984,,
4538,Café Abiachae,52 Wausan-ro 37-gil,37.5569878,126.9283295,홍대 관광특구,mid,330.1,0.980,,
3569,Humming Bella,57 Dongmak-ro 7-gil,37.5503120,126.9199524,홍대 관광특구,fringe,717.2,0.987,,
2623,카페 리카르도,78 Seogang-ro,37.5492859,126.9321594,홍대 관광특구,fringe,835.4,0.981,,
367,CAFE GATE,,37.5486526,126.9204102,홍대 관광특구,fringe,833.1,0.980,,
816,더욱커피,창전동 82-6번지 1층 마포구 서울특별시 KR,37.5488319,126.9308243,홍대 관광특구,fringe,802.4,0.976,,
4781,Tongue Planet,"2층, 광림물산, 317-9번지 Seongsu-dong 2(i)-ga",37.5422554,127.0565186,성수카페거리,near,137.0,0.997,,
1802,Scène,20 Yeonmujang 5-gil,37.5448112,127.0534286,성수카페거리,near,288.4,0.990,,
1312,천상가옥,"14 Seongsui-ro 14-gil, Seongsu-dong 2(i)-ga",37.5415573,127.0571289,성수카페거리,near,226.6,0.987,,
521,연무장,"성동구 연무장길 36, 연무장",37.5427818,127.0530930,성수카페거리,near,286.4,0.987,,
223,Frolla,5 Yeonmujang 17-gil,37.5412331,127.0609360,성수카페거리,mid,483.8,0.996,,
1409,카페 노티드 피치스 - Cafe Knotted Peaches,연무장3길 9 1층 피치스도원 내,37.5446014,127.0513000,성수카페거리,mid,452.2,0.987,,
3057,KANTO 성수,20 Yeonmujang-gil,37.5434265,127.0515213,성수카페거리,mid,414.8,0.985,,
1489,Ezer Coffee,127 Seongsui-ro,37.5462952,127.0574417,성수카페거리,mid,332.4,0.984,,
4346,Affair Coffee,11 Seongsui-ro 6-gil,37.5366249,127.0550385,성수카페거리,fringe,767.8,0.989,,
545,Peer Coffee,"Gwangnaru-ro 4ga-gil, 24 1층",37.5489006,127.0548630,성수카페거리,fringe,616.2,0.986,,
4195,Erolpa,"Dulle 7-gil, 15 1층",37.5379791,127.0490494,성수카페거리,fringe,878.9,0.981,,
2332,까사다루아,66 Seongdeokjeong-gil,37.5379028,127.0508881,성수카페거리,fringe,777.2,0.975,,
